country,welf_cost_gdp
Macedonia,14.59953
Bulgaria,13.82316
Serbia,13.46016
Bosnia and Herz.,12.28357
Armenia,11.71413
Ukraine,11.21635
China,10.70889
Egypt,10.13176
Montenegro,9.850571
Belarus,9.54286
Uzbekistan,9.40716
Georgia,8.742424
Morocco,8.621298
Azerbaijan,8.505048
Romania,8.458518
India,8.409643
Croatia,8.242996
Nepal,8.081091
Mongolia,7.707092
Poland,7.672066
Hungary,7.588515
Barbados,7.056462
Tunisia,7.048162
Iraq,7.006398
Cabo Verde,6.886817
Trinidad and Tobago,6.638143
Slovakia,6.555022
Turkmenistan,6.437024
Pakistan,6.422276
Latvia,6.309481
Guyana,6.302429
Saint Vincent and the Grenadines,6.300555
Moldova,6.154494
Albania,5.972043
Czechia,5.894484
Greece,5.809804
Kazakhstan,5.657088
Bangladesh,5.626724
Djibouti,5.592071
Algeria,5.504812
Iran,5.438542
Myanmar,5.392108
Lebanon,5.388541
Russia,5.379323
Ghana,5.323685
Turkey,5.247484
Libya,5.245399
Mauritius,5.22935
Venezuela,5.197627
Dominica,5.152742
Tajikistan,5.13165
Lesotho,5.104301
Suriname,5.04517
Grenada,5.031578
Cameroon,5.030053
Kyrgyzstan,5.008597
Thailand,4.969913
Saint Lucia,4.818854
Lithuania,4.737175
South Africa,4.714342
Vietnam,4.578839
Saudi Arabia,4.571042
Palestinian Authority or West Bank and Gaza Strip,4.488029
Botswana,4.396197
Indonesia,4.338875
Fiji,4.182633
Italy,4.128501
Nigeria,4.11132
Congo,4.106455
Gabon,4.099416
South Korea,4.085119
Bhutan,4.021299
Slovenia,3.976952
Bolivia,3.969774
Eritrea,3.966591
Sudan,3.906094
Yemen,3.889405
Sri Lanka,3.836915
Dominican Rep.,3.816903
Mauritania,3.814604
Seychelles,3.75438
Cyprus,3.703354
Jamaica,3.674428
Micronesia,3.621495
Namibia,3.615315
Bahrain,3.55079
Jordan,3.507373
Chile,3.442585
El Salvador,3.440208
eSwatini,3.423817
Philippines,3.409119
Malaysia,3.369288
Antigua and Barbuda,3.28393
Cote d'Ivoire,3.281831
Malta,3.204599
Kuwait,3.204107
Eq. Guinea,3.13458
Mexico,3.109283
Germany,3.090676
Oman,3.083437
Japan,3.048057
Peru,3.035204
Sao Tome and Principe,3.02119
Argentina,3.018943
Palau,2.91853
Belgium,2.915624
Colombia,2.849302
United Arab Emirates,2.804636
Belize,2.784958
Ecuador,2.760468
Cambodia,2.63869
Israel,2.618405
Senegal,2.615333
Bahamas,2.612528
Marshall Islands,2.55815
Austria,2.538377
Benin,2.50434
Netherlands,2.489345
Guatemala,2.475628
Samoa,2.466342
Zimbabwe,2.443415
Tonga,2.348472
Uruguay,2.340209
Vanuatu,2.333992
Afghanistan,2.293541
Laos,2.281262
Brazil,2.259027
Honduras,2.246124
Tuvalu,2.239144
Saint Kitts and Nevis,2.187392
Timor-Leste,2.152822
Solomon Is.,2.152486
Denmark,2.148375
Portugal,2.114578
Angola,2.093402
Kiribati,2.086138
Gambia,2.085795
United Kingdom,2.082634
Zambia,2.075207
Togo,2.013294
Costa Rica,2.010128
France,1.984264
Sierra Leone,1.984059
Central African Rep.,1.972846
Guinea,1.93224
Spain,1.909016
Singapore,1.874862
Nicaragua,1.871193
Guinea-Bissau,1.858899
Papua New Guinea,1.750718
Burkina Faso,1.673976
Panama,1.66249
Mali,1.660247
Chad,1.647803
Paraguay,1.6472
Haiti,1.626376
San Marino,1.52912
Qatar,1.473327
Switzerland,1.461892
Puerto Rico,1.441427
Comoros,1.431722
Nauru,1.419409
Rwanda,1.399536
Tanzania,1.390421
Kenya,1.351654
Liberia,1.336372
United States of America,1.313015
Niger,1.281215
Dem. Rep. Congo,1.281125
Estonia,1.26927
Luxembourg,1.232713
Uganda,1.041509
Maldives,0.9957202
Canada,0.9550194
Ireland,0.9519086
Burundi,0.8514826
Madagascar,0.8374154
Ethiopia,0.8033948
Brunei,0.7635456
Malawi,0.7080567
Finland,0.678485
Australia,0.669348
Norway,0.663366
New Zealand,0.6301562
Mozambique,0.6219261
Sweden,0.6111038
Iceland,0.4213845
