country_code,country,rel_prem_deaths_1990,rel_prem_deaths_2015,rel_prem_deaths_2019,abs_prem_deaths_2019,better,cat
AFG,Afghanistan,224.168,223.026,228.234,34796,no,other
ALB,Albania,285.349,498.178,532.035,8173,no,Balkans
DZA,Algeria,425.854,494.707,502.327,113578,no,other
ASM,American Samoa,93.551,124.749,140.15,41,no,other
AND,Andorra,169.896,150.952,136.917,79,yes,other
AGO,Angola,104.099,155.527,174.547,20162,no,other
ATG,Antigua and Barbuda,372.218,305.836,309.069,180,yes,other
ARG,Argentina,349.936,300.539,281.206,81847,yes,G20
ARM,Armenia,609.027,1115.201,1045.64,19799,no,Eeurope
AUS,Australia,139.187,69.773,70.732,13379,yes,G20
AUT,Austria,675.491,307.617,267.22,25696,yes,other
AZE,Azerbaijan,517.276,807.873,783.148,41636,no,Eeurope
BHS,Bahamas,233.971,243.86,254.771,538,no,other
BHR,Bahrain,584.532,356.396,381.299,2868,yes,other
BGD,Bangladesh,200.109,375.193,453.833,280926,no,other
BRB,Barbados,578.13,549.971,609.426,1046,no,other
BLR,Belarus,1037.126,1006.043,889.441,78870,yes,Eeurope
BEL,Belgium,699.434,312.865,302.814,35165,yes,other
BLZ,Belize,147.423,218.938,238.568,407,no,other
BEN,Benin,150.516,199.378,195.056,9703,no,other
BMU,Bermuda,254.365,110.926,124.041,68,yes,other
BTN,Bhutan,110.916,348.087,353.53,1050,no,other
BOL,Bolivia,432.729,318.903,337.477,21449,yes,other
BIH,Bosnia and Herz.,448.563,1115.74,1094.15,21840,no,Balkans
BWA,Botswana,180.093,416.709,408.65,4424,no,other
BRA,Brazil,200.832,195.662,206.572,268536,no,G20
BRN,Brunei,100.498,86.058,89.332,180,yes,other
BGR,Bulgaria,1352.45,1281.85,1296.192,80361,yes,Balkans
BFA,Burkina Faso,124.139,174.511,166.317,14428,no,other
BDI,Burundi,121.852,90.252,84.593,5220,yes,other
CPV,Cabo Verde,184.349,458.437,579.372,1100,no,other
KHM,Cambodia,171.069,194.625,212.328,16540,no,other
CMR,Cameroon,224.108,402.52,395.813,42717,no,other
CAN,Canada,213.875,96.955,100.683,33722,yes,G7
CAF,Central African Rep.,157.752,203.352,195.525,4814,no,other
TCD,Chad,131.522,166.588,163.741,10916,no,other
CHL,Chile,278.542,301.959,307.534,31564,no,other
CHN,China,442.026,953.961,993.582,6908715,no,G20
TWN,Taiwan,291.172,474.049,487.4,62243,no,other
COL,Colombia,210.093,245.993,259.564,70171,no,other
COM,Comoros,95.05,111.713,109.659,457,no,other
COG,Congo,223.28,326.647,334.787,7476,no,other
CRI,Costa Rica,116.598,175.652,185.842,4563,no,other
CIV,Cote d'Ivoire,201.315,300,261.468,33409,no,other
HRV,Croatia,959.035,798.073,743.796,27311,yes,Balkans
CUB,Cuba,438.081,544.04,516.016,37066,no,other
CYP,Cyprus,488.219,356.432,344.973,2963,yes,Eeurope
CZE,Czechia,1256.59,603.457,585.256,60475,yes,Eeurope
