,COMMODITY_ID,COMMODITY,IMP_TOT,IMP_MEX,EXP_TOT,EXP_MEX,MEX_BOT,SHARE_IMP,SHARE_EXP,TOT_BOT
3704,010121,"HORSES, LIVE, PUREBRED BREEDING",113830937.0,734017.0,191458850.0,7975431.0,7241414.0,0.6448308512122676,4.165611043835268,77627913.0
2238,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",616492141.0,5991394.0,103935737.0,26168941.0,20177547.0,0.971852453833633,25.178001095042024,-512556404.0
1180,010130,"ASSES, LIVE",688360.0,0.0,750316.0,282044.0,282044.0,0.0,37.59002873455984,61956.0
5348,010190,"MULES AND HINNIES, LIVE",0.0,0.0,7194048.0,332364.0,332364.0,0.0,4.619985854973445,7194048.0
1351,010221,"CATTLE, LIVE, PUREBRED BREEDING",5521857.0,59401.0,91479625.0,25452877.0,25393476.0,1.0757431784271125,27.82354759324822,85957768.0
2287,010229,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING",1558067976.0,754542373.0,444251147.0,94505933.0,-660036440.0,48.42807789022935,21.273087000043244,-1113816829.0
5128,010231,"BUFFALO, LIVE, PUREBRED BREEDING",16600.0,0.0,289352.0,161397.0,161397.0,0.0,55.77877464126738,272752.0
2152,010239,"BUFFALO, LIVE, OTHER THAN PUREBRED BREEDING",65201224.0,0.0,1245284.0,1120473.0,1120473.0,0.0,89.97730638151619,-63955940.0
2111,010290,"BOVINE ANIMALS, LIVE, NESOI",721101.0,0.0,1031772.0,827345.0,827345.0,0.0,80.1868048367275,310671.0
1823,010310,"SWINE, LIVE, PUREBRED BREEDING ANIMALS",438951.0,0.0,30493840.0,1881413.0,1881413.0,0.0,6.169813313115042,30054889.0
1412,010391,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG EACH",225710834.0,0.0,2751291.0,711392.0,711392.0,0.0,25.856661472741344,-222959543.0
1000,010392,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH",343097503.0,0.0,1176426.0,781240.0,781240.0,0.0,66.407916860049,-341921077.0
1709,010410,"SHEEP, LIVE",1459596.0,0.0,3064159.0,12180.0,12180.0,0.0,0.39749895485188597,1604563.0
4920,010420,"GOATS, LIVE",4788.0,0.0,788608.0,3000.0,3000.0,0.0,0.3804171400746632,783820.0
157,010511,"CHICKENS, LIVE, WEIGHING NOT OVER 185 G EACH",7632507.0,0.0,262199889.0,24946690.0,24946690.0,0.0,9.514378551090843,254567382.0
2263,010512,"TURKEYS, LIVE, WEIGHING NOT OVER 185 G EACH",17952202.0,0.0,12765370.0,275566.0,275566.0,0.0,2.1586996694964578,-5186832.0
4628,010513,"DUCKS, LIVE, WEIGHING NOT OVER 185 G EACH",1626974.0,0.0,435298.0,19916.0,19916.0,0.0,4.5752564909556215,-1191676.0
2403,010514,"GEESE, LIVE, WEIGHING NOT OVER 185 G EACH",180575.0,0.0,15021.0,0.0,0.0,0.0,0.0,-165554.0
5304,010515,"GUINEA FOWLS, LIVE WEIGHING NOT OVER 185 G EACH",0.0,0.0,257659.0,0.0,0.0,0.0,0.0,257659.0
1658,010594,"CHICKENS, LIVE, WEIGHING MORE THAN 185 G EACH",705864.0,0.0,675302.0,0.0,0.0,0.0,0.0,-30562.0
4519,010599,"TURKEYS, DUCKS, GEESE, GUINEA FOWLS, LIVE, OV 185G",11888379.0,0.0,254406.0,30016.0,30016.0,0.0,11.798463872707405,-11633973.0
187,010611,"PRIMATES, LIVE",127421322.0,0.0,19445832.0,0.0,0.0,0.0,0.0,-107975490.0
5291,010613,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",0.0,0.0,352995.0,6000.0,6000.0,0.0,1.6997407895295968,352995.0
3030,010614,"RABBITS AND HARES, LIVE",5541981.0,0.0,1314149.0,0.0,0.0,0.0,0.0,-4227832.0
1413,010619,"MAMMALS, LIVE, NESOI",73438115.0,464297.0,66027438.0,1123078.0,658781.0,0.6322289181850597,1.7009262119181423,-7410677.0
314,010620,LIVE REPTILES (INCLUDING SNAKES AND TURTLES),19507858.0,26800.0,7140364.0,40675.0,13875.0,0.1373805366022246,0.5696488302277026,-12367494.0
621,010631,LIVE BIRDS OF PREY,38560.0,0.0,352340.0,0.0,0.0,0.0,0.0,313780.0
5306,010632,"PSITTACIFORMES ( PARROTS, MACAWS &COCKATOOS), LIVE",0.0,0.0,18838.0,0.0,0.0,0.0,0.0,18838.0
5319,010633,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE",0.0,0.0,6828.0,0.0,0.0,0.0,0.0,6828.0
2526,010639,"BIRDS, LIVE, NESOI",2190440.0,0.0,1264334.0,48906.0,48906.0,0.0,3.8681234547200343,-926106.0
1001,010641,"BEES, LIVE",1547867.0,0.0,8874489.0,0.0,0.0,0.0,0.0,7326622.0
5250,010649,"INSECTS OTHER THAN BEES, LIVE",21155351.0,1204928.0,11685390.0,1781751.0,576823.0,5.695618096811534,15.2476810786803,-9469961.0
4073,010690,"ANIMALS, LIVE, NESOI",77104323.0,2186173.0,6594787.0,689959.0,-1496214.0,2.8353442646789078,10.462187785594896,-70509536.0
5180,020110,CARCASSES/HALF-CARCASSES OF BOVINE ANMLS FRSH/CHLD,26316751.0,0.0,19688718.0,15381835.0,15381835.0,0.0,78.12512221466122,-6628033.0
2525,020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",983017763.0,589313289.0,277437082.0,47819668.0,-541493621.0,59.949403884780054,17.236220787529767,-705580681.0
5127,020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",3923400868.0,1077512084.0,4403480886.0,650637583.0,-426874501.0,27.46372650290192,14.775528720212549,480080018.0
5283,020210,"CARCASSES/HALF-CARCASSES OF BOVINE ANIMALS, FROZEN",0.0,0.0,4583097.0,1003639.0,1003639.0,0.0,21.898707358801264,4583097.0
3739,020220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN",43991081.0,15114001.0,816995638.0,9182520.0,-5931481.0,34.35696658602229,1.1239374573013325,773004557.0
4072,020230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",2537586473.0,123186068.0,3693422322.0,78081178.0,-45104890.0,4.854457939096998,2.114060380663936,1155835849.0
5285,020311,"CARCASSES & HALF-CARCASSES OF SWINE FRESH, CHILLED",0.0,0.0,15438129.0,10500496.0,10500496.0,0.0,68.01663595374802,15438129.0
4369,020312,"MEAT, SWINE, HAMS, SHLDRS, BONE IN, FRSH OR CHLLD",185057790.0,203946.0,1070137879.0,997643809.0,997439863.0,0.11020665490493538,93.22572619635305,885080089.0
3082,020319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED",666298692.0,51628099.0,1731147968.0,204178654.0,152550555.0,7.748491722988405,11.794407975182395,1064849276.0
1118,020321,"CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN",278391.0,0.0,55147473.0,1105050.0,1105050.0,0.0,2.0038089505932577,54869082.0
500,020322,"MEAT, SWINE, HAMS, SHOULDERS ETC, BONE IN, FROZEN",28793602.0,1553588.0,389792837.0,11043671.0,9490083.0,5.395601425622262,2.8332154805605114,360999235.0
440,020329,"MEAT OF SWINE, NESOI, FROZEN",665194253.0,93455883.0,2690967934.0,130723239.0,37267356.0,14.049412269952368,4.8578519776594264,2025773681.0
1088,020410,CARCASSES AND HALF-CARCASSES OF LAMB FRESH/CHILLED,867226.0,95478.0,571446.0,498576.0,403098.0,11.009586889691962,87.24813893176258,-295780.0
3548,020421,"CARCASSES & HALF-CARCASSES OF SHEEP, FRESH/CHILLED",320866.0,0.0,26442.0,0.0,0.0,0.0,0.0,-294424.0
1874,020422,"MEAT OF SHEEP, CUTS, BONE IN NESOI, FRESH, CHILLED",488680095.0,0.0,1746632.0,248536.0,248536.0,0.0,14.229442721763943,-486933463.0
2838,020423,"MEAT OF SHEEP, BONELESS, FRESH OR CHILLED",163371616.0,0.0,473208.0,12940.0,12940.0,0.0,2.7345268888099947,-162898408.0
1506,020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",27336323.0,865401.0,553776.0,0.0,-865401.0,3.165754955412255,0.0,-26782547.0
654,020441,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",31613183.0,0.0,724630.0,0.0,0.0,0.0,0.0,-30888553.0
4006,020442,"MEAT OF SHEEP, CUTS WITH BONE IN, NESOI, FROZEN",377716077.0,703823.0,5882477.0,931740.0,227917.0,0.18633652175731985,15.839245950302908,-371833600.0
3872,020443,"MEAT OF SHEEP, BONELESS, FROZEN",168765518.0,0.0,1778660.0,34856.0,34856.0,0.0,1.959677510035645,-166986858.0
4685,020450,"MEAT OF GOATS, FRESH, CHILLED OR FROZEN",138284855.0,11433318.0,373798.0,0.0,-11433318.0,8.26794662365593,0.0,-137911057.0
3906,020500,"MEAT OF HORSES, ASSES, MULES, HINNIES FR, CHLD, FZ",1335342.0,0.0,660624.0,23000.0,23000.0,0.0,3.481556831117247,-674718.0
2839,020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",148585829.0,70780927.0,312322142.0,10173408.0,-60607519.0,47.636391354656034,3.257344463268954,163736313.0
2738,020621,"TONGUES OF BOVINE ANIMALS, EDIBLE, FROZEN",16554510.0,161170.0,168307684.0,3943863.0,3782693.0,0.9735715524047525,2.343245956613603,151753174.0
1150,020622,"LIVERS OF BOVINE ANIMALS, EDIBLE, FROZEN",502090.0,0.0,106076506.0,1969148.0,1969148.0,0.0,1.8563469652742897,105574416.0
156,020629,"OFFAL OF BOVINE ANIMALS, EDIBLE, NESOI, FROZEN",299851222.0,47981846.0,325558709.0,153956208.0,105974362.0,16.001884427871367,47.28984473273605,25707487.0
4889,020630,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED",15433917.0,140058.0,74867196.0,67960157.0,67820099.0,0.9074689205598294,90.77427849708702,59433279.0
3549,020641,"LIVERS OF SWINE, EDIBLE, FROZEN",2660081.0,55990.0,1307551.0,1163901.0,1107911.0,2.104823123807132,89.01381284554103,-1352530.0
1204,020649,"OFFAL OF SWINE EXCEPT LIVERS, EDIBLE, FROZEN",36008499.0,7388434.0,844190287.0,77949355.0,70560921.0,20.51858368214682,9.2336237694713,808181788.0
1635,020680,"OFFAL SHEEP,GOAT,HORSE,ASS, MULE/HINNY EDBLE FR/CH",2042331.0,0.0,10604342.0,10598430.0,10598430.0,0.0,99.94424925186306,8562011.0
945,020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",17225592.0,0.0,1773476.0,1028277.0,1028277.0,0.0,57.98088048555492,-15452116.0
2916,020711,"MEAT & OFFAL OF CHICKENS,NOT CUT FRESH OR CHILLED",9295736.0,0.0,15899695.0,10683268.0,10683268.0,0.0,67.19165367637555,6603959.0
946,020712,"MEAT & OFFAL OF CHICKENS,NOT CUT IN PIECES,FROZEN",7376438.0,0.0,39451118.0,3797511.0,3797511.0,0.0,9.625864088313035,32074680.0
4763,020713,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLD,48880463.0,0.0,770282176.0,542498553.0,542498553.0,0.0,70.42854812208455,721401713.0
4972,020714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN",262243848.0,2478356.0,3384696536.0,198556653.0,196078297.0,0.9450578226719736,5.8663059121587375,3122452688.0
1988,020724,"TURKEYS, NOT CUT IN PIECES, FRESH OR CHILLED",1045685.0,0.0,17601584.0,17397910.0,17397910.0,0.0,98.84286550574085,16555899.0
5219,020725,"TURKEYS, NOT CUT IN PIECES, FROZEN",4511519.0,0.0,49736902.0,26769446.0,26769446.0,0.0,53.82210174650604,45225383.0
3616,020726,TURKEY CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLLD,5378142.0,0.0,269488563.0,263424835.0,263424835.0,0.0,97.7499126744017,264110421.0
4731,020727,TURKEY CUTS AND EDIBLE OFFAL (INCLUD LIVER) FROZEN,19980499.0,0.0,198826089.0,62810579.0,62810579.0,0.0,31.59071292701432,178845590.0
5334,020741,"MEAT OF DUCKS, FRESH OR CHILLED, NOT CUT IN PIECES",0.0,0.0,171294.0,38790.0,38790.0,0.0,22.645276542085536,171294.0
1847,020742,"MEAT OF DUCKS, FROZEN, NOT CUT IN PIECES",1903916.0,0.0,5657501.0,2669897.0,2669897.0,0.0,47.19216134473507,3753585.0
5354,020743,"FATTY LIVERS OF DUCKS, FRESH OR CHILLED",0.0,0.0,21070.0,0.0,0.0,0.0,0.0,21070.0
4570,020744,"CUTS AND OFFAL OF DUCKS, EXC LIVERS, FRESH/CHILLED",385262.0,0.0,59108.0,6223.0,6223.0,0.0,10.528185693983893,-326154.0
1265,020745,"CUTS AND OFFAL OF DUCKS, FROZEN",11704137.0,0.0,3418705.0,1076878.0,1076878.0,0.0,31.499588294398023,-8285432.0
5321,020751,"MEAT OF GEESE, FRESH OR CHILLED, NOT CUT IN PIECES",0.0,0.0,49275.0,49275.0,49275.0,0.0,100.0,49275.0
5359,020752,"MEAT OF GEESE, FROZEN, NOT CUT IN PIECES",0.0,0.0,79738.0,3432.0,3432.0,0.0,4.304095914118739,79738.0
5342,020753,"FATTY LIVERS OF GEESE, FRESH OR CHILLED",0.0,0.0,2977.0,0.0,0.0,0.0,0.0,2977.0
5325,020755,"CUTS AND OFFAL OF GEESE, FROZEN",0.0,0.0,229965.0,0.0,0.0,0.0,0.0,229965.0
5296,020760,"MEAT, OFFAL OF GUINEA FOWLS, FRESH, CHILLED FROZEN",0.0,0.0,2702854.0,382802.0,382802.0,0.0,14.162881161912555,2702854.0
3339,020810,"RABBIT OR HARE MEAT & OFFAL FRESH, CHILLED, FROZEN",4555299.0,0.0,77448.0,15098.0,15098.0,0.0,19.49437041627931,-4477851.0
2888,020850,"MEAT & EDIBLE OFFAL OF REPTILES, FRESH,CHILL,FRZ",36065.0,0.0,83786.0,0.0,0.0,0.0,0.0,47721.0
1898,020860,"MEAT & OFFAL OF CAMELS ETC, FRESH, CHILLED, FROZEN",804504.0,0.0,0.0,0.0,0.0,0.0,0.0,-804504.0
3150,020890,"MEAT & EDIBLE MEAT OFFAL NESOI, FRESH, CHLD, FROZN",45034806.0,0.0,5754187.0,335339.0,335339.0,0.0,5.827739001182965,-39280619.0
1205,020910,"PIG FAT NT RENDERED, FRSH, CHILL, FRZN, SALTED ETC",16785987.0,110638.0,41122414.0,17530373.0,17419735.0,0.6591092915775522,42.62972742796666,24336427.0
158,020990,"POULTRY FAT, NT RENDERD, FRSH, CHILL, FRZ SALT ETC",242537.0,0.0,508423.0,76349.0,76349.0,0.0,15.016826540105384,265886.0
347,021011,"HAMS, SHOULDERS & CUTS, BONE IN, SALTED, DRD, SMKD",27875542.0,0.0,59164683.0,217408.0,217408.0,0.0,0.36746246067100535,31289141.0
1848,021012,"MEAT OF SWINE, BELLIES (BACON ETC), CURED ETC",136549647.0,388812.0,155831627.0,57047765.0,56658953.0,0.28474039189570366,36.60859229814754,19281980.0
2153,021019,"MEAT OF SWINE NESOI, SALTED, IN BRINE, DRIED, SMKD",192966208.0,2849975.0,49065174.0,2657677.0,-192298.0,1.4769295772242155,5.41662605741498,-143901034.0
3617,021020,"MEAT, BOVINE ANIMALS, SALTED, IN BRINE, DRD, SMOKD",3384883.0,0.0,3332167.0,120556.0,120556.0,0.0,3.6179459192771555,-52716.0
2500,021099,"MEAT&OFFAL,SALT,IN BRINE,DRD,SMK,INCL FLR ETC,NESO",3495735.0,0.0,24907361.0,9637480.0,9637480.0,0.0,38.693300346030234,21411626.0
4784,030111,"ORNAMENTAL FISH, LIVE, FRESHWATER",49043052.0,114588.0,4172464.0,122840.0,8252.0,0.2336477754280056,2.944063747464328,-44870588.0
3931,030119,"ORNAMENTAL FISH, LIVE, OTHER THAN FRESHWATER",9550383.0,0.0,2965782.0,11432.0,11432.0,0.0,0.3854632606172672,-6584601.0
4371,030191,"TROUT (SALMO TRUTTA, GAIRDNERI, CLARKI ETC.), LIVE",752992.0,0.0,405134.0,0.0,0.0,0.0,0.0,-347858.0
5181,030192,"EELS (ANGUILLA SPP.), LIVE",2647382.0,0.0,24799853.0,0.0,0.0,0.0,0.0,22152471.0
408,030193,"CARP, LIVE",158128.0,151850.0,205084.0,28365.0,-123485.0,96.0297986441364,13.830918062842542,46956.0
1450,030194,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, LIVE",24867.0,0.0,25044.0,0.0,0.0,0.0,0.0,177.0
4943,030199,"FISH, LIVE, NESOI",20295728.0,2040.0,14019862.0,25896.0,23856.0,0.010051376329048163,0.18470937873710883,-6275866.0
1377,030211,"TROUT (SALMO TRUTTA, ETC) FRESH, CHILLED, NESOI",72714009.0,10143.0,3543284.0,46490.0,36347.0,0.013949168997132312,1.3120596599087173,-69170725.0
1414,030213,"PACIFIC SALMON, FRESH OR CHILLED",63732681.0,0.0,40815808.0,207718.0,207718.0,0.0,0.5089155652633411,-22916873.0
