Country,ST,CD,NAICS4,Description,Direct Jobs 2018,Indirect Jobs 2018,Total Jobs 2018
Mexico,AK,AL,1112,Vegetables & Melons ,0.048372786,0.039811926,0.088184712
Mexico,AK,AL,1113,Fruits & Tree Nuts ,4.617790317,3.800548647,8.418338964
Mexico,AK,AL,1121,Cattle,0.145675497,0.137738139,0.283413636
Mexico,AK,AL,1129,Misc. Animal Products ,0.093778634,0.088668958,0.182447592
Mexico,AK,AL,1141,Marine Products ,0.3555769,0.188509,0.5440859
Mexico,AK,AL,2123,Nonmetallic Minerals ,0.0129105,0.01207245,0.02498295
Mexico,AK,AL,3114,Preserves & Specialty Foods ,0.1042559,0.160019665,0.264275565
Mexico,AK,AL,3115,Dairy Products ,0.120496816,0.157306338,0.277803154
Mexico,AK,AL,3116,Meat Products ,0.929332102,1.344270167,2.273602269
Mexico,AK,AL,3119,Misc. Foods ,0.01855854,0.027684657,0.046243197
Mexico,AK,AL,3132,Fabrics ,1.79532063,1.651916169,3.447236799
Mexico,AK,AL,3133,Finished & Coated Textile Fabrics ,0.70911583,0.652473929,1.361589759
Mexico,AK,AL,3141,Textile Furnishings ,0.04308489,0.039643407,0.082728297
Mexico,AK,AL,3149,Misc. Textile Products ,0.11938805,0.109851715,0.229239765
Mexico,AK,AL,3152,Apparel ,0.034894251,0.031640553,0.066534804
Mexico,AK,AL,3169,Misc. Leather Products ,0.228773272,0.207441416,0.436214688
Mexico,AK,AL,3211,Sawmill & Wood Products ,0.85938485,0.94324178,1.80262663
Mexico,AK,AL,3219,Misc. Wood Products ,0.017048864,0.01704073,0.034089594
Mexico,AK,AL,3221,Pulp & Paperboard Mill Products ,0.921743656,0.99116718,1.912910836
Mexico,AK,AL,3222,Converted Paper Products ,0.86573845,1.06160532,1.92734377
Mexico,AK,AL,3231,Printed Matter & Related Products ,0.455117447,0.468506067,0.923623514
Mexico,AK,AL,3241,Petroleum & Coal Products ,0.033015325,0.028676168,0.061691493
Mexico,AK,AL,3251,Basic Chemicals ,0.30399809,0.238045962,0.542044052
Mexico,AK,AL,3252,Resins & Synthetic Fibers ,0.539904665,0.760807785,1.30071245
Mexico,AK,AL,3254,Pharmaceuticals & Medicines ,0.248246208,0.134466696,0.382712904
Mexico,AK,AL,3255,"Paints, Coatings & Adhesives ",0.043137816,0.048502104,0.09163992
Mexico,AK,AL,3256,"Soaps, Cleaning Agents & Toiletries ",0.1525992,0.128887632,0.281486832
Mexico,AK,AL,3259,Misc. Chemical Preparations ,0.8375134,0.972015552,1.809528952
Mexico,AK,AL,3261,Plastics Products ,1.297222212,1.381142928,2.67836514
Mexico,AK,AL,3262,Rubber Products ,0.104578368,0.10035672,0.204935088
Mexico,AK,AL,3271,Clay & Refractory Products ,0.01135134,0.009028152,0.020379492
Mexico,AK,AL,3272,Glass & Glass Products ,0.130272261,0.08967861,0.219950871
Mexico,AK,AL,3279,Misc. Nonmetallic Minerals ,0.12133542,0.084181983,0.205517403
Mexico,AK,AL,3311,"Iron, Steel & Ferroalloys",0.436994222,0.419325992,0.856320214
Mexico,AK,AL,3313,Aluminum,0.855553455,0.531939855,1.38749331
Mexico,AK,AL,3314,Nonferrous Metal Products,0.079925502,0.040735426,0.120660928
Mexico,AK,AL,3315,Foundry Products,0.068662626,0.045134082,0.113796708
Mexico,AK,AL,3322,Cutlery & Handtools ,0.332298584,0.269828698,0.602127282
Mexico,AK,AL,3323,Architectural & Structural Metals ,0.260410314,0.247972446,0.50838276
Mexico,AK,AL,3324,"Boilers, Tanks & Containers ",0.19727466,0.186679548,0.383954208
Mexico,AK,AL,3326,Springs & Wire Products ,0.262824029,0.24849682,0.511320849
Mexico,AK,AL,3327,"Bolts, Nuts & Misc. Turned Prods ",1.42823034,1.172607132,2.600837472
Mexico,AK,AL,3329,Misc. Fabricated Metal Products ,0.704513172,0.561834801,1.266347973
Mexico,AK,AL,3331,Ag. & Construction Machinery ,0.235169262,0.212362704,0.447531966
Mexico,AK,AL,3332,Industrial Machinery ,0.861752952,0.74327112,1.605024072
Mexico,AK,AL,3333,Comm. & Serv. Industry Machinery ,0.02629436,0.024338925,0.050633285
Mexico,AK,AL,3334,HVAC & Refrigeration Equipment ,0.842795514,0.591523614,1.434319128
Mexico,AK,AL,3335,Metalworking Machinery ,1.52065782,1.35330756,2.87396538
Mexico,AK,AL,3336,Engines & Turbines ,1.12079408,0.98329208,2.10408616
Mexico,AK,AL,3339,Misc. General Purpose Machinery ,12.81261154,11.04049967,23.85311121
Mexico,AK,AL,3341,Computer Equipment ,0.216318918,0.096303183,0.312622101
Mexico,AK,AL,3342,Communications Equipment ,0.26201819,0.08260672,0.34462491
Mexico,AK,AL,3343,Audio & Video Equipment ,3.095498468,11.13151298,14.22701144
Mexico,AK,AL,3344,Semiconductors & Components ,10.99664093,3.638693152,14.63533408
Mexico,AK,AL,3345,Navigational & Meas. Instruments ,1.510820626,0.394989714,1.90581034
Mexico,AK,AL,3346,Magnetic & Optical Media ,0.064894226,0.04876692,0.113661146
Mexico,AK,AL,3351,Electric Lighting Equipment ,1.733063432,1.370894496,3.103957928
Mexico,AK,AL,3352,Household Appliances ,0.31698054,0.23022576,0.5472063
