state,district,NAICS4,Description,World,Mexico,Direct Jobs,Indirect Jobs,Total Jobs,Mex_Share
AK,AL,1141,Marine Products ,2444124046,345947,1,1,2,0.000141542
AK,AL,2122,Metal Ores ,1773498891,0,0,0,0,0
AK,AL,3241,Petroleum & Coal Products ,200901539,0,0,0,0,0
AK,AL,2111,Oil & Gas ,127964325,0,0,0,0,0
AK,AL,1133,Timber & Logs ,90350106,0,0,0,0,0
AK,AL,3364,Aerospace Products & Parts ,60176859,10109882,22,22,44,0.16800282
AK,AL,3117,Prepared Seafood Products ,14476580,0,0,0,0,0
AK,AL,3331,Ag. & Construction Machinery ,11029378,285612,1,1,2,0.025895567
AK,AL,3345,Navigational & Meas. Instruments ,10310121,216577,0,0,1,0.021006252
AK,AL,3116,Meat Products ,7474063,489963,1,3,4,0.065555107
AK,AL,3344,Semiconductors & Components ,6416068,1603609,5,2,7,0.24993641
AK,AL,3314,Nonferrous Metal Products,6012628,246316,0,1,1,0.040966446
AK,AL,3353,Electrical Equipment ,5384616,966597,3,3,6,0.179510851
AK,AL,3342,Communications Equipment ,5330689,1702375,3,3,5,0.319353652
AK,AL,3336,Engines & Turbines ,4419913,358077,1,1,2,0.081014491
AK,AL,3366,Ships & Boats ,4356828,0,0,0,0,0
AK,AL,3339,Misc. General Purpose Machinery ,3985847,572517,1,2,3,0.143637475
AK,AL,3252,Resins & Synthetic Fibers ,3502470,2096370,2,7,9,0.598540459
AK,AL,3359,Electrical Equipment & Components ,3076069,613808,2,2,3,0.199542988
AK,AL,3329,Misc. Fabricated Metal Products ,2646253,134163,0,0,1,0.050699234
AK,AL,3399,Misc. Manufactured Commodities ,2477145,47751,0,0,0,0.019276627
AK,AL,3363,Motor Vehicle Parts ,2364165,1002303,2,4,6,0.42395645
AK,AL,3311,"Iron, Steel & Ferroalloys",2342942,2042602,2,8,10,0.871810741
AK,AL,3332,Industrial Machinery ,2094423,2031873,6,8,14,0.970134973
AK,AL,3211,Sawmill & Wood Products ,1868902,115841,0,1,1,0.061983453
AK,AL,3261,Plastics Products ,1696521,1057371,3,4,7,0.623258421
AK,AL,3254,Pharmaceuticals & Medicines ,1523718,74828,0,0,0,0.049108825
AK,AL,3313,Aluminum,1485709,1039859,2,4,6,0.699907586
AK,AL,3341,Computer Equipment ,1057271,410649,2,0,2,0.388404676
AK,AL,3255,"Paints, Coatings & Adhesives ",1037362,601058,1,2,3,0.579410081
AK,AL,3251,Basic Chemicals ,973191,115960,0,0,0,0.119154411
AK,AL,3391,Medical Equipment & Supplies ,952091,553705,2,1,3,0.581567308
AK,AL,3221,Pulp & Paperboard Mill Products ,847402,150827,0,1,1,0.177987543
AK,AL,3169,Misc. Leather Products ,830445,25184,0,0,0,0.03032591
AK,AL,3361,Motor Vehicles ,749394,60816,0,0,0,0.081153572
AK,AL,3256,"Soaps, Cleaning Agents & Toiletries ",705804,437317,1,1,1,0.619601192
AK,AL,3323,Architectural & Structural Metals ,631464,57851,0,0,0,0.09161409
AK,AL,3259,Misc. Chemical Preparations ,611681,116766,0,0,1,0.190893619
AK,AL,3352,Household Appliances ,608087,151780,0,0,1,0.249602442
AK,AL,9100,Scrap Products ,601790,24500,0,0,0,0.040711876
AK,AL,3324,"Boilers, Tanks & Containers ",592178,22783,0,0,0,0.038473229
AK,AL,3333,Comm. & Serv. Industry Machinery ,586789,10381,0,0,0,0.017691197
AK,AL,3114,Preserves & Specialty Foods ,541722,344393,1,2,3,0.635737519
AK,AL,3271,Clay & Refractory Products ,505506,72864,0,0,1,0.144140722
AK,AL,3119,Misc. Foods ,500773,194976,0,1,1,0.389350065
AK,AL,3335,Metalworking Machinery ,467816,441640,2,2,4,0.944046377
AK,AL,3262,Rubber Products ,439810,95217,0,0,1,0.21649576
AK,AL,1129,Misc. Animal Products ,421501,0,0,0,0,0
