ST,STATE,STATE_NAME,CD,Mexico,World,Mex_share,Total Jobs 2018
AK,2,Alaska,0,32619232,4715334412,0.006917692,166.9628115
AL,1,Alabama,1,511576303.5,2705653525,0.189076797,2403.658276
AL,1,Alabama,2,250652333.5,3225143714,0.07771819,1298.524075
AL,1,Alabama,3,314597195.8,3438438549,0.091494203,1623.213428
AL,1,Alabama,4,423961985.1,3133858807,0.135284329,2326.02696
AL,1,Alabama,5,342789238,3319673968,0.103259911,1774.839975
AL,1,Alabama,6,107245594.4,907978228.6,0.11811472,537.8129731
AL,1,Alabama,7,654091750.7,4544511740,0.143930039,3119.110155
AR,5,Arkansas,1,400284096.1,2572659050,0.155591584,2894.092687
AR,5,Arkansas,2,86367858.27,1294101698,0.066739622,473.9051379
AR,5,Arkansas,3,188548904.6,1140174921,0.165368402,1375.648368
AR,5,Arkansas,4,288216236,2070515291,0.139200245,1930.479097
AZ,4,Arizona,1,999875201.8,2252603309,0.443875403,4410.021507
AZ,4,Arizona,2,672413335,1964662462,0.342253872,3751.740512
AZ,4,Arizona,3,1065697917,3256529024,0.32724963,4919.020959
AZ,4,Arizona,4,912177679.1,1674003935,0.544907727,4216.68005
AZ,4,Arizona,5,381453976.6,1360063902,0.280467687,1910.592943
AZ,4,Arizona,6,740355368.4,2483299948,0.298133687,3944.44406
AZ,4,Arizona,7,1224712693,3866491931,0.316750355,6813.640343
AZ,4,Arizona,8,138935023.3,381578833.9,0.364105687,795.1638725
AZ,4,Arizona,9,1461987130,4840882094,0.302008415,7482.02436
CA,6,California,1,434175396.1,2919650149,0.148708021,2891.989475
CA,6,California,2,384946622.5,2912235778,0.132182506,2715.363314
CA,6,California,3,480398579.3,3221169365,0.149137945,3277.176735
CA,6,California,4,299683431.8,1645293581,0.182145871,2056.109554
CA,6,California,5,475670593.8,3662971075,0.129859227,2487.624185
CA,6,California,6,251689060.3,1254232343,0.200671799,1459.108369
CA,6,California,7,246961605.6,756319931.6,0.326530606,1500.476996
CA,6,California,8,238287332.9,1010724016,0.235759049,1448.792905
CA,6,California,9,387660025.4,2106403514,0.184038824,2501.874706
CA,6,California,10,520170898.7,2767766159,0.18793889,3603.372222
CA,6,California,11,391955434.4,1808533675,0.216725538,1049.236167
CA,6,California,12,84354647.17,681335935.4,0.123807718,333.5384473
CA,6,California,13,394454547,3236702309,0.12186927,2236.878351
CA,6,California,14,345935505,2434828076,0.142078001,1722.846857
CA,6,California,15,558173448.3,4158665310,0.134219372,2912.917625
CA,6,California,16,507268203.7,3053878507,0.166106216,3392.612579
CA,6,California,17,3329404259,22209371578,0.149909881,16310.85402
CA,6,California,18,1056782463,6187726385,0.170786877,5301.469932
CA,6,California,19,636498600.3,4467422910,0.142475564,3088.219858
CA,6,California,20,298678771,1845743524,0.1618203,1783.451818
CA,6,California,21,506831671.3,3147265586,0.161038736,3364.209027
CA,6,California,22,477988549.8,3015354962,0.15851817,3193.354596
CA,6,California,23,345350522.6,1528116317,0.225997536,1664.260335
CA,6,California,24,521440358.6,3535731098,0.14747738,3013.057462
CA,6,California,25,480110050.1,2579704405,0.18611049,2510.711484
CA,6,California,26,696772294.8,4164785688,0.167300876,3842.398264
CA,6,California,27,388182625.5,1927911324,0.201348797,2246.654868
CA,6,California,28,415929012.9,2135507233,0.194768253,2587.328807
CA,6,California,29,478298671.8,2753266419,0.173720447,2755.520762
CA,6,California,30,337592146.7,1881544764,0.179422862,1999.77809
CA,6,California,31,468350881.6,1736697590,0.269679007,2851.419354
CA,6,California,32,606307282.1,2848111335,0.212880471,3242.874635
CA,6,California,33,460957454.8,2342798564,0.196755053,2433.276905
CA,6,California,34,804082820.6,3700111254,0.217313147,5468.16439
CA,6,California,35,1062427322,3974690260,0.267298142,6155.217386
CA,6,California,36,290212935.8,1545257303,0.18780881,1887.136124
CA,6,California,37,282110919.8,1383087979,0.203971782,1803.177051
CA,6,California,38,916540061.5,4344857670,0.210948236,5134.158385
CA,6,California,39,646694690.8,3084771265,0.209641051,3712.599563
CA,6,California,40,814501402.6,3657798941,0.22267528,4697.510303
CA,6,California,41,580128904.6,1860325362,0.311842711,3438.149728
CA,6,California,42,719207741.5,2563695425,0.280535564,4328.162007
CA,6,California,43,529264792.8,3176671285,0.166609871,2962.003632
CA,6,California,44,754507502.2,3750349361,0.201183258,3696.362518
CA,6,California,45,1053638530,5135685672,0.205160245,5849.993393
CA,6,California,46,874242308.2,4124123928,0.21198255,4966.764092
CA,6,California,47,542742755.9,2918051274,0.185994935,3046.624486
CA,6,California,48,681632086.5,3538337222,0.192641923,3932.629762
CA,6,California,49,654458688.7,4654454389,0.14060911,3353.481029
CA,6,California,50,471239480.7,3954808092,0.119156093,2631.994499
CA,6,California,51,368170658.1,2400895727,0.153347209,1958.739313
CA,6,California,52,820729124.5,5808582439,0.141295942,3970.812791
CA,6,California,53,263945308.5,2277170458,0.115909333,1389.916729
CO,8,Colorado,1,123759473.3,623388813.2,0.19852694,817.2167703
CO,8,Colorado,2,184044862.3,1982232192,0.092847277,1061.155826
CO,8,Colorado,3,139082435.4,741362172.5,0.187603901,870.1447672
CO,8,Colorado,4,558810594.6,3105845183,0.179922231,4110.624782
CO,8,Colorado,5,45282775.8,755840746,0.059910472,268.9153109
CO,8,Colorado,6,27541634.35,209884013.8,0.131223116,166.9524556
CO,8,Colorado,7,184937235.3,1096862316,0.168605697,1111.019864
CT,9,Connecticut,1,172264304.3,5637003021,0.030559555,954.0989497
CT,9,Connecticut,2,215028505.3,3812583666,0.056399682,1127.731718
CT,9,Connecticut,3,182143014,2446137433,0.07446148,975.5220803
CT,9,Connecticut,4,161074324.6,2255415552,0.071416695,746.1451494
CT,9,Connecticut,5,194786741.8,2212841197,0.088025631,1034.521936
DE,10,Delaware,0,160083300,4701229591,0.034051368,793.5574655
FL,12,Florida,1,219130136.4,2389490595,0.091705796,1100.753636
FL,12,Florida,2,184634143.4,2393337370,0.077145055,1153.516021
FL,12,Florida,3,92605541.29,1597467239,0.057970229,530.0062542
FL,12,Florida,4,160857034.7,2738536596,0.058738318,856.9081865
FL,12,Florida,5,154008790.8,2467013307,0.062427223,838.9792699
FL,12,Florida,6,160999771,1937831159,0.083082455,938.7040578
FL,12,Florida,7,133997815.4,1799778992,0.074452372,763.5948823
FL,12,Florida,8,289970501.2,5918901518,0.048990594,1423.498077
FL,12,Florida,9,124925740.6,1771082624,0.070536371,664.8609619
FL,12,Florida,10,131947352.5,3101531226,0.042542648,679.7538997
FL,12,Florida,11,55111951.5,927848822.4,0.059397555,328.8426145
