Business Roundtable,BRT,General,Nacional,https://www.businessroundtable.org/,Association of chief executive officers of America’s leading companies working to promote a thriving U.S. economy and expanded opportunity for all Americans through sound public policy., ,NA,"Washington, DC",info@brt.org,"Lance M. Fritz, Chairman","President and CEO of Union Pacific Railroad, Líder del Trade & International Committee",NA,NA,"Corporate Governance, COVID-19 Response, Diversity Equity and Inclusion, Education and Workforce, Energy and Environment, Health and Retirement, Immigration, Infrastructure, Innovation, Racial Equity and Justice, Smart Regulation, Tax and Fiscal Policy, Technology, Trade and International",,SI,"$67,500","$3,000","$64,500",SI,"$4,820,000",NACIONAL,NACIONAL,NACIONAL,NA,"Junio 2022: Economic Impacts of Globally Engaged US Companies, https://s3.amazonaws.com/brt.org/Economic_Impacts_of_Globally_Engaged_US_Companies_2022.pdf 
Febrero 2022: The Impact of Trade on U.S. and State-Level Employment: 2022 Update, https://s3.amazonaws.com/brt.org/Business-Roundtable_TradeandAmericanJobs2022.pdf 
Mayo 2021: Smart Regulation for the Innovation Economy, https://s3.amazonaws.com/brt.org/Business_Roundtable_Smart_Regulation_For_Innovative_Economy_May_2021.pdf 
Abril 2021: The macroeconomic impacts of reinvesting in America’s infrastructure systems 2021 Update, https://s3.amazonaws.com/brt.org/BusinessRoundtable_Delivering_for_America_Infrastructure_Report_Updated_April2021.pdf 
Octubre 2020: The Impact of Trade on U.S. and State-Level Employment: 2020 Update, https://s3.amazonaws.com/brt.org/Trade_and_American_Jobs_2020.pdf ",BizRoundtable,https://www.facebook.com/BusinessRoundtable,https://www.youtube.com/user/BusinessRoundtable
National Association of Manufacturers,NAM,Manufacturers,,https://www.nam.org/,"Association that works for the success of the more than 12.8 million men and women who make things in America. Their work is centered around four values that make the maufacturer industry strong: free enterprise, competitiveness, individual liberty and equal opportunity. NAM represents 14,000 member companies from across the country, in every industrial sector.",,14000,"Washington, DC",info@nam.org,NA,NA,NA,NA,"Energy, Environment, Health Care, Immigration, Innovation and Technology, Labor and Employment, Regulatory and Legal Reform, Research, Innovation and Technology, Tax, Trade, Transportation and Infrastructure",,SI,"$266,431","$86,806","$176,125",SI,"$1,780,000",,,,NA,"Septiembre 9, 2021: Ensuring a Healthy Future: The Impact and Importance of Pharmaceutical Manufacturing, https://www.nam.org/wp-content/uploads/2021/09/ENSURING-A-HEALTHY-FUTURE.pdf 
2019: USMCA State Data Sheets, https://www.nam.org/nam-releases-usmca-state-data-sheets/",ShopFloorNAM,https://www.facebook.com/NAMpage,https://www.youtube.com/namvideo
U.S. Hispanic Chamber of Commerce,USHCC,General / Hispanic,Nacional,https://www.ushcc.com/,"The USHCC actively promotes the economic growth, development, and interests of more than 4.7 million Hispanic-owned businesses, that combined, contribute over $800 billion to the American economy every year. It advocates on behalf of its network of more than 250 local chambers and business associations nationwide, and also partners with more than 260 major American corporations.",,260 local chambers of commerce and Hispanic business organizations,"Washington, DC",info@ushcc.com,NA,NA,NA,NA,NA,,SI,$0,$0,$0,SI,"$30,000",NACIONAL,NACIONAL,NACIONAL,NA,"2021: USHCC An Economic Overview of Hispanic Businesses in America, https://www.ushcc.com/ushcc-reports--resources.html",USHCC,https://www.facebook.com/USHCC/,https://www.youtube.com/user/ushcctv
U.S. – Mexico Chamber of Commerce,USMCOC,General,Nacional,https://usmcoc.org/,The USMCOC is the leading binational business organization working to build mutually beneficial trade and investment relationships in the Americas. The organization's mission is to promote business between the United States and Mexico.,,NA,"Irving, TX",info@usmcoc.org,NA,NA,NA,NA,NA,,NO,NA,NA,NA,NO,NA,NACIONAL,NACIONAL,NACIONAL,10,NA,USMCOC,https://www.facebook.com/USMCOC,NA
National Association of Latino State Chamber of Commerce,NASLCC,General / Latinos,Nacional,https://naoslcc.org/,,,NA,"Washington, DC",NA,NA,NA,NA,NA,"Finance, international trade, e-commerce, economic development",,NO,NA,NA,NA,NO,NA,NACIONAL,NACIONAL,NACIONAL,NA,NA,NA,NA,NA
Coalition of Services Industries,CSI,Servicios,,https://uscsi.org/,Leading industry association devoted exclusively to promoting the international objectives of service sectors.,,NA,"Washington, DC",admin@uscsi.org,NA,NA,NA,NA,NA,,NO,NA,NA,NA,SI,$0,,,,NA,"2021: Addressing Foreign Services Trade and Investment Barriers Benefits American Workers and Must Remain a Priority, https://uscsi.org/wp-content/uploads/2021/10/CSI-White-Paper-2-Case-for-Services-Dig-Tr.pdf 
2021: Services and Digital Trade Are Critical to U.S. Competitiveness and Middle-Class Job Creation, https://secureservercdn.net/198.71.233.106/v8v.669.myftpupload.com/wp-content/uploads/2021/04/CSI-White-Paper.pdf ",USCSI,https://www.facebook.com/CoalitionOfServicesIndustries/,NA
American Farm Bureau Federation,AFBF,Agricultura,"HS2_01,04,05,15",https://www.fb.org/,"Farm and ranch families working together to build a sustainable future of safe and abundant food, fiber and renewable fuel",,NA,"Washington, DC",webmaster@fb.org,NA,NA,NA,NA,"Trade, Regulatory Reform, Environment, Innovation, Farm Policy, Immigration Reform, Infrastructure, Tax Reform, Energy",,SI,$620,$0,$220,SI,"$560,000",,,,NA,NA,FarmBureau,https://www.facebook.com/FarmBureau,https://www.youtube.com/user/farmbureautv
U.S. Chamber of Commerce,USCC,General,Nacional,https://www.uschamber.com/,"Non-profit membership organization representing the unified interests of U.S. business before Congress, government agencies, and the courts.",,NA,"Washington, DC",NA,NA,NA,NA,NA,"Antitrust, Climate Change, Infrastructure, Supply Chain, Workforce, Chambers of Commerce, Climate Change, Corporate Social Responsibility, Diversity Equity and Inclusion, Economy, Employment, Law, Energy, Environment and Sustainability, Finance, Health Care, Immigration, Improving Government, Infrastructure, Intellectual Property, International, Lawsuits, Regulations, Retirement, Security and Resilience, Small Business, Space, Taxes, Technology, Travel, Workforce",,SI,"$153,925","$29,435","$124,390",SI,"$18,660,000",,,,NA,NA,USChamber,https://www.facebook.com/uschamber,NA
American Automotive Policy Council,AAPC,Automóviles,HS2_87,https://www.americanautomakers.org/,"AAPC is a Washington, D.C.-based association helping American Automakers deliver on those commitments by representing Ford, GM and Stellantis on their common public policy interests at the federal and internationals levels.
Empresas: Ford Motor Company, General Motors Company and Stellantis",,3,"Washington, DC",info@americanautomakers.org,Charles D. Uthus,Vice President for International Policy,cuthus@americanautomakers.org,NA,"International Trade, Environmental Stewardship",,SI,$0,$0,$0,SI,"$100,000",,,,NA,"March 2021: Investing for the future: leading in capital investments and research & development, https://www.americanautomakers.org/sites/default/files/2021%20AAPC%20Scoreboard%20on%20Auto%20CapEx%20and%20R%26D.pdf",USAutomakers,https://www.facebook.com/USAutoCouncil/wall/?filter=12,https://www.youtube.com/user/USAutoPolicyCouncil
Autos Drive America,NA,Automóviles,HS2_87,https://www.autosdriveamerica.org/,"Organization that looks for the growth of the U.S. automotive industry by advocating for, and defending, open trade and investment policies that expand employment opportunities for Americans and choice for all consumers.
Empresas: BMW, Honda, Hyundai, KIA, Mazda, Mercedes Benz, Mitsubishi Motors, Nissan, Subaru, Toyota, Volkswagen, Volvo",,12,"Washington, DC",info@autosdriveamerica.org,Edward Stewart,"Manager, Trade & Economic Policy",NA,NA,,,NO,NA,NA,NA,SI,"$110,000",,,,NA,"2022: International Automakers and Dealers in America, Economic Impact Report, https://www.autosdriveamerica.org/economic-impact/2022/ADA_2022_8.5X11_national.pdf ",AutosDrvAmerica,https://www.facebook.com/AutosDriveAmerica/,https://www.youtube.com/channel/UCQxWyf4Mxv7jeXL9xMzWCEg
